"","gmDate","gmTime","teamAbbr","teamLoc","teamRslt","teamMin","teamDayOff","teamPTS","teamAST","teamTO","teamSTL","teamBLK","teamPF","teamFGA","teamFGM","teamFG.","team3PA","team3PM","team3P.","teamFTA","teamFTM","teamFT.","teamORB","teamDRB","teamTRB","teamPTS5","teamPTS6","teamPTS7","teamPTS8","opptAbbr","opptMin","opptDayOff","opptPTS","opptAST","opptTO","opptSTL","opptBLK","opptPF","opptFGA","opptFGM","opptFG.","oppt3PA","oppt3PM","oppt3P.","opptFTA","opptFTM","opptFT.","opptORB","opptDRB","opptTRB","opptPTS5","opptPTS6","opptPTS7","opptPTS8","nrow","teamCircadian","opptCircadian"
"13256","3/15/2014","19:00","WAS","Home","Win",240,1,101,21,14,4,7,14,77,36,0.4675,26,8,0.3077,25,21,0.84,11,28,39,0,0,0,0,"BKN",240,3,94,20,13,7,2,25,71,34,0.4789,21,11,0.5238,22,15,0.6818,6,29,35,0,0,0,0,2210,0,0
"13262","3/15/2014","19:30","ATL","Home","Win",240,2,97,25,14,12,5,17,81,33,0.4074,32,14,0.4375,29,17,0.5862,6,32,38,0,0,0,0,"DEN",240,1,92,27,21,7,7,24,83,34,0.4096,25,8,0.32,25,16,0.64,12,42,54,0,0,0,0,2211,0,0
"13268","3/15/2014","19:30","DET","Home","Loss",265,3,104,24,11,9,7,21,91,37,0.4066,23,7,0.3043,30,23,0.7667,8,36,44,4,0,0,0,"IND",265,1,112,24,10,6,5,24,104,41,0.3942,24,7,0.2917,25,23,0.92,18,44,62,12,0,0,0,2212,0,0
"13274","3/15/2014","19:30","PHI","Home","Loss",240,1,77,16,22,12,3,24,83,31,0.3735,23,6,0.2609,19,9,0.4737,14,28,42,0,0,0,0,"MEM",240,1,103,27,22,13,4,24,70,38,0.5429,15,4,0.2667,32,23,0.7188,7,34,41,0,0,0,0,2213,0,0
"13280","3/15/2014","20:00","CHI","Home","Win",240,2,94,21,11,6,8,26,78,31,0.3974,20,6,0.3,33,26,0.7879,7,33,40,0,0,0,0,"SAC",240,3,87,12,18,6,6,22,85,31,0.3647,14,2,0.1429,37,23,0.6216,19,36,55,0,0,0,0,2214,0,-1
"13286","3/16/2014","13:00","MIL","Home","Loss",240,1,92,24,11,10,2,17,89,37,0.4157,18,7,0.3889,16,11,0.6875,15,22,37,0,0,0,0,"CHA",240,2,101,26,18,5,8,16,68,39,0.5735,20,9,0.45,18,14,0.7778,6,33,39,0,0,0,0,2215,-1,-1
"13292","3/16/2014","13:00","TOR","Home","Loss",240,2,113,27,11,12,3,27,85,42,0.4941,23,7,0.3043,25,22,0.88,4,22,26,0,0,0,0,"PHO",240,2,121,17,21,5,4,23,75,38,0.5067,23,11,0.4783,38,34,0.8947,12,33,45,0,0,0,0,2216,0,0
"13298","3/16/2014","15:30","MIA","Home","Win",240,2,113,21,14,9,3,21,78,40,0.5128,22,9,0.4091,29,24,0.8276,7,24,31,0,0,0,0,"HOU",240,3,104,18,16,11,4,21,75,37,0.4933,23,9,0.3913,28,21,0.75,10,24,34,0,0,0,0,2217,0,1
"13304","3/16/2014","18:00","NO","Home","Win",265,2,121,25,12,8,9,17,94,47,0.5,15,3,0.2,28,24,0.8571,12,32,44,9,0,0,0,"BOS",265,2,120,33,16,7,8,26,97,45,0.4639,26,12,0.4615,23,18,0.7826,13,36,49,8,0,0,0,2218,0,-1
"13310","3/16/2014","19:00","MIN","Home","Win",240,2,104,23,9,9,5,17,78,34,0.4359,17,6,0.3529,38,30,0.7895,7,28,35,0,0,0,0,"SAC",240,1,102,17,17,5,4,25,85,41,0.4824,19,6,0.3158,19,14,0.7368,11,37,48,0,0,0,0,2219,-1,0
"13316","3/16/2014","19:00","OKC","Home","Loss",240,3,86,17,15,5,4,21,79,29,0.3671,29,9,0.3103,27,19,0.7037,10,23,33,0,0,0,0,"DAL",240,4,109,26,18,9,4,17,75,40,0.5333,24,13,0.5417,20,16,0.8,8,34,42,0,0,0,0,2220,0,1
"13322","3/16/2014","19:00","SA","Home","Win",240,2,122,31,12,4,5,19,78,49,0.6282,16,10,0.625,19,14,0.7368,4,36,40,0,0,0,0,"UTA",240,2,104,19,8,8,3,18,91,42,0.4615,11,5,0.4545,21,15,0.7143,13,26,39,0,0,0,0,2221,0,1
"13328","3/16/2014","21:00","POR","Home","Loss",240,2,112,25,12,6,4,16,88,37,0.4205,28,12,0.4286,30,26,0.8667,12,36,48,0,0,0,0,"GS",240,2,113,17,12,7,7,29,88,42,0.4773,30,11,0.3667,22,18,0.8182,10,31,41,0,0,0,0,2222,-2,0
"13334","3/16/2014","21:30","LAC","Home","Win",240,2,102,32,7,8,3,20,94,42,0.4468,28,8,0.2857,15,10,0.6667,10,31,41,0,0,0,0,"CLE",240,2,80,19,17,2,1,17,83,29,0.3494,24,8,0.3333,20,14,0.7,16,32,48,0,0,0,0,2223,-1,0
"13340","3/17/2014","19:00","CHA","Home","Loss",240,1,83,22,7,4,7,15,85,30,0.3529,25,9,0.36,16,14,0.875,10,32,42,0,0,0,0,"ATL",240,2,97,27,15,3,9,20,85,39,0.4588,34,13,0.3824,7,6,0.8571,10,41,51,0,0,0,0,2224,1,0
"13346","3/17/2014","19:00","IND","Home","Win",240,2,99,13,15,9,4,17,81,31,0.3827,18,6,0.3333,38,31,0.8158,16,36,52,0,0,0,0,"PHI",240,2,90,21,19,3,6,33,81,35,0.4321,23,9,0.3913,20,11,0.55,11,34,45,0,0,0,0,2225,0,0
"13352","3/17/2014","19:30","BKN","Home","Win",240,2,108,23,17,12,3,24,70,41,0.5857,21,9,0.4286,27,17,0.6296,6,30,36,0,0,0,0,"PHO",240,1,95,18,17,9,2,24,80,37,0.4625,22,6,0.2727,28,15,0.5357,12,28,40,0,0,0,0,2226,0,0
"13358","3/17/2014","20:00","CHI","Home","Loss",240,2,85,21,6,7,4,15,84,29,0.3452,22,5,0.2273,31,22,0.7097,13,33,46,0,0,0,0,"OKC",240,1,97,20,13,3,6,27,75,31,0.4133,25,13,0.52,28,22,0.7857,6,40,46,0,0,0,0,2227,0,0
"13364","3/17/2014","20:00","HOU","Home","Win",240,1,124,31,19,7,12,22,79,46,0.5823,25,13,0.52,26,19,0.7308,8,38,46,0,0,0,0,"UTA",240,1,86,21,19,9,4,25,83,34,0.4096,18,4,0.2222,18,14,0.7778,9,25,34,0,0,0,0,2228,-1,0
"13370","3/17/2014","20:30","DAL","Home","Win",240,1,94,20,13,7,4,17,78,33,0.4231,27,9,0.3333,21,19,0.9048,6,30,36,0,0,0,0,"BOS",240,1,89,20,17,8,1,19,93,34,0.3656,22,9,0.4091,14,12,0.8571,21,36,57,0,0,0,0,2229,0,0
"13376","3/17/2014","22:30","DEN","Home","Win",240,2,110,22,17,11,4,23,93,38,0.4086,25,6,0.24,33,28,0.8485,19,36,55,0,0,0,0,"LAC",240,1,100,22,16,13,5,28,92,36,0.3913,21,5,0.2381,25,23,0.92,16,27,43,0,0,0,0,2230,-2,1
"13382","3/18/2014","19:00","CLE","Home","Loss",240,2,96,27,20,6,5,28,72,37,0.5139,22,7,0.3182,22,15,0.6818,4,37,41,0,0,0,0,"MIA",240,2,100,22,14,10,7,18,75,34,0.4533,30,12,0.4,31,20,0.6452,7,29,36,0,0,0,0,2231,3,0
"13388","3/18/2014","19:30","ATL","Home","Win",265,1,118,24,9,9,0,24,94,40,0.4255,34,11,0.3235,31,27,0.871,10,30,40,12,0,0,0,"TOR",265,2,113,21,15,2,3,31,81,40,0.4938,24,7,0.2917,29,26,0.8966,8,42,50,7,0,0,0,2232,0,0
"13394","3/18/2014","22:00","POR","Home","Win",265,2,120,25,16,6,5,22,97,42,0.433,39,12,0.3077,27,24,0.8889,11,36,47,22,0,0,0,"MIL",265,2,115,28,19,10,3,31,98,45,0.4592,17,8,0.4706,26,17,0.6538,12,41,53,17,0,0,0,2233,0,-2
"13400","3/18/2014","22:00","SAC","Home","Win",265,2,117,18,20,8,2,29,87,40,0.4598,18,6,0.3333,40,31,0.775,16,41,57,17,0,0,0,"WAS",265,3,111,28,15,11,2,32,91,40,0.4396,28,11,0.3929,30,20,0.6667,11,30,41,11,0,0,0,2234,-2,-3
"13406","3/18/2014","22:30","GS","Home","Win",240,2,103,21,11,7,2,19,82,37,0.4512,27,10,0.3704,21,19,0.9048,9,35,44,0,0,0,0,"ORL",240,4,89,22,16,2,2,17,77,35,0.4545,13,4,0.3077,20,15,0.75,5,35,40,0,0,0,0,2235,0,-3
"13412","3/19/2014","19:00","PHI","Home","Loss",240,2,94,22,14,13,6,21,81,37,0.4568,24,11,0.4583,19,9,0.4737,9,29,38,0,0,0,0,"CHI",240,2,102,22,16,4,8,19,83,36,0.4337,15,8,0.5333,27,22,0.8148,14,38,52,0,0,0,0,2236,0,1
"13418","3/19/2014","19:30","BOS","Home","Win",240,2,101,29,13,1,2,18,77,39,0.5065,28,13,0.4643,12,10,0.8333,9,27,36,0,0,0,0,"MIA",240,1,96,29,12,9,5,15,81,40,0.4938,17,4,0.2353,15,12,0.8,11,26,37,0,0,0,0,2237,1,0
"13424","3/19/2014","19:30","BKN","Home","Win",240,2,104,19,7,7,2,17,75,37,0.4933,20,9,0.45,35,21,0.6,8,31,39,0,0,0,0,"CHA",240,2,99,27,15,2,5,26,85,40,0.4706,27,9,0.3333,12,10,0.8333,15,36,51,0,0,0,0,2238,0,0
"13430","3/19/2014","20:00","MEM","Home","Win",240,4,96,21,13,9,5,18,81,36,0.4444,11,2,0.1818,25,22,0.88,11,35,46,0,0,0,0,"UTA",240,2,86,20,17,7,2,22,84,37,0.4405,18,7,0.3889,10,5,0.5,10,29,39,0,0,0,0,2239,-1,0
"13436","3/19/2014","20:00","NO","Home","Loss",240,3,100,16,12,4,6,25,67,36,0.5373,13,4,0.3077,32,24,0.75,5,29,34,0,0,0,0,"TOR",240,1,107,20,12,8,5,20,86,36,0.4186,22,9,0.4091,32,26,0.8125,22,26,48,0,0,0,0,2240,0,-1
"13442","3/19/2014","20:00","NY","Home","Win",240,4,92,15,11,6,2,26,82,32,0.3902,17,4,0.2353,29,24,0.8276,10,35,45,0,0,0,0,"IND",240,2,86,12,13,3,5,25,73,31,0.4247,23,5,0.2174,27,19,0.7037,6,34,40,0,0,0,0,2241,0,0
"13448","3/19/2014","20:30","DAL","Home","Loss",265,2,122,26,16,9,4,25,95,47,0.4947,27,9,0.3333,25,19,0.76,10,41,51,9,0,0,0,"MIN",265,3,123,25,14,8,4,18,92,44,0.4783,29,10,0.3448,31,25,0.8065,8,38,46,10,0,0,0,2242,0,0
"13454","3/19/2014","21:00","DEN","Home","Win",240,2,118,27,12,7,5,24,86,44,0.5116,27,11,0.4074,27,19,0.7037,10,36,46,0,0,0,0,"DET",240,4,109,22,13,8,4,20,95,43,0.4526,26,10,0.3846,19,13,0.6842,12,31,43,0,0,0,0,2243,0,-2
"13460","3/19/2014","22:00","PHO","Home","Win",240,2,109,22,16,11,6,22,89,45,0.5056,25,11,0.44,12,8,0.6667,10,33,43,0,0,0,0,"ORL",240,1,93,18,20,9,3,15,80,32,0.4,13,6,0.4615,30,23,0.7667,13,30,43,0,0,0,0,2244,-2,1
"13466","3/19/2014","22:30","LAL","Home","Loss",240,5,109,19,12,10,6,19,91,39,0.4286,26,9,0.3462,29,22,0.7586,12,34,46,0,0,0,0,"SA",240,3,125,34,12,9,6,21,95,50,0.5263,27,12,0.4444,16,13,0.8125,9,43,52,0,0,0,0,2245,-2,-2
"13472","3/20/2014","19:00","CLE","Home","Loss",240,2,95,27,12,9,0,20,81,36,0.4444,22,8,0.3636,24,15,0.625,9,27,36,0,0,0,0,"OKC",240,3,102,21,18,8,7,21,89,38,0.427,31,10,0.3226,20,16,0.8,18,35,53,0,0,0,0,2246,0,1
"13478","3/20/2014","20:00","HOU","Home","Win",240,3,129,36,15,11,7,20,85,49,0.5765,38,16,0.4211,19,15,0.7895,9,35,44,0,0,0,0,"MIN",240,1,106,28,16,6,3,16,87,38,0.4368,28,12,0.4286,23,18,0.7826,14,26,40,0,0,0,0,2247,0,0
"13484","3/20/2014","22:00","POR","Home","Win",240,2,116,32,11,5,1,18,81,41,0.5062,35,14,0.4,25,20,0.8,11,32,43,0,0,0,0,"WAS",240,2,103,25,11,5,5,21,90,38,0.4222,27,12,0.4444,17,15,0.8824,15,28,43,0,0,0,0,2248,0,0
"13490","3/20/2014","22:30","GS","Home","Win",240,2,115,26,15,6,3,28,80,43,0.5375,27,8,0.2963,25,21,0.84,8,34,42,0,0,0,0,"MIL",240,2,110,23,11,7,1,21,80,39,0.4875,12,3,0.25,39,29,0.7436,7,29,36,0,0,0,0,2249,0,0
"13496","3/21/2014","19:00","IND","Home","Win",240,2,91,27,16,4,9,18,79,34,0.4304,11,2,0.1818,25,21,0.84,13,38,51,0,0,0,0,"CHI",240,2,79,17,13,12,10,25,77,28,0.3636,11,5,0.4545,24,18,0.75,10,26,36,0,0,0,0,2250,0,0
"13502","3/21/2014","19:00","PHI","Home","Loss",240,2,92,20,11,8,1,22,91,34,0.3736,41,10,0.2439,21,14,0.6667,19,34,53,0,0,0,0,"NY",240,2,93,29,12,6,2,17,82,34,0.4146,29,7,0.2414,25,18,0.72,9,38,47,0,0,0,0,2251,0,0
"13508","3/21/2014","19:00","TOR","Home","Loss",290,2,118,17,20,10,8,32,101,41,0.4059,29,8,0.2759,33,28,0.8485,14,43,57,11,11,0,0,"OKC",290,1,119,18,14,10,4,30,98,38,0.3878,36,12,0.3333,38,31,0.8158,9,38,47,11,12,0,0,2252,1,0
"13514","3/21/2014","19:30","ATL","Home","Loss",240,3,105,22,16,7,3,29,85,38,0.4471,28,8,0.2857,27,21,0.7778,8,26,34,0,0,0,0,"NO",240,2,111,20,15,10,6,28,70,36,0.5143,13,4,0.3077,43,35,0.814,7,33,40,0,0,0,0,2253,0,1
"13520","3/21/2014","19:30","BKN","Home","Win",240,2,114,30,11,6,3,17,78,44,0.5641,17,9,0.5294,24,17,0.7083,7,32,39,0,0,0,0,"BOS",240,2,98,20,11,7,3,18,83,35,0.4217,27,9,0.3333,23,19,0.8261,12,25,37,0,0,0,0,2254,0,0
"13526","3/21/2014","19:30","MIA","Home","Win",240,2,91,20,15,9,5,18,75,35,0.4667,20,7,0.35,16,14,0.875,10,24,34,0,0,0,0,"MEM",240,2,86,17,17,7,1,19,79,36,0.4557,14,3,0.2143,17,11,0.6471,15,28,43,0,0,0,0,2255,0,1
"13532","3/21/2014","20:30","DAL","Home","Win",240,2,122,28,16,11,5,18,89,48,0.5393,22,12,0.5455,17,14,0.8235,15,33,48,0,0,0,0,"DEN",240,2,106,24,16,8,4,19,81,40,0.4938,30,13,0.4333,21,13,0.619,10,25,35,0,0,0,0,2256,0,1
"13538","3/21/2014","22:00","PHO","Home","Win",240,2,98,17,13,11,7,21,73,33,0.4521,25,8,0.32,35,24,0.6857,4,35,39,0,0,0,0,"DET",240,2,92,22,19,8,3,27,90,39,0.4333,16,4,0.25,26,10,0.3846,14,39,53,0,0,0,0,2257,0,0
"13544","3/21/2014","22:00","SAC","Home","Loss",240,3,79,17,15,3,9,22,80,32,0.4,14,4,0.2857,18,11,0.6111,7,41,48,0,0,0,0,"SA",240,2,99,18,9,7,7,17,93,36,0.3871,25,5,0.2,27,22,0.8148,13,39,52,0,0,0,0,2258,0,0
"13550","3/21/2014","22:30","LAL","Home","Loss",240,2,107,32,21,12,5,22,91,43,0.4725,19,7,0.3684,23,14,0.6087,11,33,44,0,0,0,0,"WAS",240,1,117,21,20,9,7,22,87,42,0.4828,25,10,0.4,29,23,0.7931,9,35,44,0,0,0,0,2259,0,0
"13556","3/22/2014","19:00","CHA","Home","Win",240,3,124,28,5,7,8,19,94,49,0.5213,19,8,0.4211,19,18,0.9474,12,38,50,0,0,0,0,"POR",240,2,94,17,9,4,3,18,84,34,0.4048,27,9,0.3333,22,17,0.7727,8,28,36,0,0,0,0,2260,0,3
"13562","3/22/2014","19:30","CLE","Home","Loss",240,2,111,32,18,7,4,27,92,46,0.5,17,6,0.3529,17,13,0.7647,13,36,49,0,0,0,0,"HOU",240,2,118,31,13,9,10,18,79,38,0.481,35,12,0.3429,34,30,0.8824,5,26,31,0,0,0,0,2261,0,1
"13568","3/22/2014","20:00","CHI","Home","Win",240,1,91,23,15,6,9,20,70,31,0.4429,14,5,0.3571,31,24,0.7742,11,33,44,0,0,0,0,"PHI",240,1,81,11,11,3,6,23,87,30,0.3448,20,1,0.05,22,20,0.9091,19,29,48,0,0,0,0,2262,-1,-1
"13574","3/22/2014","20:00","MEM","Home","Win",240,1,82,14,12,4,8,18,75,33,0.44,13,5,0.3846,17,11,0.6471,10,37,47,0,0,0,0,"IND",240,1,71,14,11,7,5,19,74,27,0.3649,15,6,0.4,14,11,0.7857,8,27,35,0,0,0,0,2263,-1,-1
"13580","3/22/2014","20:00","NO","Home","Win",240,1,105,23,9,12,4,14,84,43,0.5119,17,7,0.4118,17,12,0.7059,11,27,38,0,0,0,0,"MIA",240,1,95,27,16,4,6,19,73,37,0.5068,26,8,0.3077,17,13,0.7647,5,28,33,0,0,0,0,2264,-1,-1
"13586","3/22/2014","21:00","UTA","Home","Win",240,3,89,17,15,6,6,20,75,29,0.3867,27,11,0.4074,26,20,0.7692,6,33,39,0,0,0,0,"ORL",240,3,88,20,13,7,5,23,79,31,0.3924,17,7,0.4118,24,19,0.7917,6,39,45,0,0,0,0,2265,-1,0
"13592","3/22/2014","22:30","GS","Home","Loss",240,2,90,21,18,4,8,20,77,31,0.4026,15,3,0.2,29,25,0.8621,11,43,54,0,0,0,0,"SA",240,1,99,24,14,10,6,18,89,35,0.3933,28,10,0.3571,25,19,0.76,9,31,40,0,0,0,0,2266,0,0
"13598","3/22/2014","22:30","LAC","Home","Win",240,5,112,31,13,13,10,15,83,45,0.5422,29,11,0.3793,17,11,0.6471,7,33,40,0,0,0,0,"DET",240,1,103,29,17,9,2,15,93,42,0.4516,29,12,0.4138,13,7,0.5385,16,30,46,0,0,0,0,2267,-1,-1
"13604","3/23/2014","13:00","TOR","Home","Win",240,2,96,17,17,12,4,19,80,34,0.425,24,8,0.3333,28,20,0.7143,12,33,45,0,0,0,0,"ATL",240,2,86,17,18,13,2,19,76,33,0.4342,20,5,0.25,20,15,0.75,8,30,38,0,0,0,0,2268,0,0
"13610","3/23/2014","15:30","MIN","Home","Loss",240,3,120,25,12,9,3,24,91,40,0.4396,23,8,0.3478,37,32,0.8649,16,22,38,0,0,0,0,"PHO",240,2,127,16,19,5,4,29,80,46,0.575,27,12,0.4444,29,23,0.7931,9,33,42,0,0,0,0,2269,0,1
"13616","3/23/2014","17:00","DEN","Home","Win",240,2,105,26,15,15,6,20,91,40,0.4396,27,11,0.4074,18,14,0.7778,10,28,38,0,0,0,0,"WAS",240,2,102,20,24,8,7,20,85,41,0.4824,15,5,0.3333,18,15,0.8333,12,34,46,0,0,0,0,2270,-1,1
"13622","3/23/2014","18:00","SAC","Home","Win",240,2,124,19,12,5,3,23,86,44,0.5116,20,7,0.35,36,29,0.8056,13,31,44,0,0,0,0,"MIL",240,3,107,25,13,3,6,31,85,42,0.4941,18,4,0.2222,30,19,0.6333,11,29,40,0,0,0,0,2271,0,0
"13628","3/23/2014","19:30","DAL","Home","Loss",265,2,104,21,14,2,9,25,91,35,0.3846,31,10,0.3226,31,24,0.7742,18,34,52,13,0,0,0,"BKN",265,2,107,17,14,8,2,29,84,34,0.4048,30,11,0.3667,33,28,0.8485,14,33,47,16,0,0,0,2272,0,-1
"13634","3/23/2014","19:30","NY","Home","Loss",240,2,100,21,13,7,2,13,77,35,0.4545,27,12,0.4444,19,18,0.9474,9,25,34,0,0,0,0,"CLE",240,1,106,17,13,5,3,18,69,42,0.6087,18,9,0.5,17,13,0.7647,3,30,33,0,0,0,0,2273,0,0
"13640","3/23/2014","21:30","LAL","Home","Win",240,2,103,20,14,9,4,16,80,37,0.4625,16,6,0.375,29,23,0.7931,7,27,34,0,0,0,0,"ORL",240,1,94,26,20,5,3,24,82,37,0.4512,19,6,0.3158,17,14,0.8235,13,33,46,0,0,0,0,2274,0,-1
"13646","3/24/2014","19:00","CHA","Home","Loss",240,2,89,12,10,7,4,18,86,32,0.3721,21,4,0.1905,25,21,0.84,13,25,38,0,0,0,0,"HOU",240,2,100,22,12,5,7,24,82,39,0.4756,27,12,0.4444,18,10,0.5556,11,31,42,0,0,0,0,2275,0,0
"13652","3/24/2014","19:30","ATL","Home","Loss",240,1,95,18,17,8,3,19,72,30,0.4167,23,8,0.3478,33,27,0.8182,7,25,32,0,0,0,0,"PHO",240,1,102,21,19,10,1,25,74,38,0.5135,24,12,0.5,16,14,0.875,7,32,39,0,0,0,0,2276,0,1
"13658","3/24/2014","19:30","MIA","Home","Win",240,2,93,16,10,14,4,24,84,37,0.4405,15,5,0.3333,23,14,0.6087,13,35,48,0,0,0,0,"POR",240,2,91,18,15,6,2,17,74,28,0.3784,39,11,0.2821,27,24,0.8889,10,34,44,0,0,0,0,2277,1,0
"13664","3/24/2014","20:00","CHI","Home","Win",240,2,89,22,10,7,7,20,84,35,0.4167,15,4,0.2667,16,15,0.9375,9,37,46,0,0,0,0,"IND",240,2,77,11,16,5,4,21,73,27,0.3699,10,4,0.4,21,19,0.9048,6,36,42,0,0,0,0,2278,0,0
"13670","3/24/2014","20:00","MEM","Home","Win",240,2,109,25,14,4,4,19,91,48,0.5275,12,6,0.5,13,7,0.5385,16,38,54,0,0,0,0,"MIN",240,1,92,19,10,7,4,14,90,34,0.3778,24,7,0.2917,20,17,0.85,14,28,42,0,0,0,0,2279,0,0
"13676","3/24/2014","20:00","NO","Home","Win",265,2,109,19,16,7,5,26,85,40,0.4706,20,9,0.45,27,20,0.7407,14,39,53,11,0,0,0,"BKN",265,1,104,16,11,9,4,21,90,33,0.3667,40,10,0.25,32,28,0.875,15,31,46,6,0,0,0,2280,0,0
"13682","3/24/2014","20:00","OKC","Home","Win",240,3,117,32,14,13,6,33,89,45,0.5056,22,11,0.5,21,16,0.7619,7,33,40,0,0,0,0,"DEN",240,1,96,20,21,7,2,25,77,30,0.3896,28,9,0.3214,40,27,0.675,12,30,42,0,0,0,0,2281,-1,1
"13688","3/24/2014","20:30","SA","Home","Win",240,2,113,31,17,9,4,17,79,44,0.557,27,13,0.4815,16,12,0.75,6,41,47,0,0,0,0,"PHI",240,2,91,22,14,13,3,15,88,36,0.4091,33,11,0.3333,18,8,0.4444,12,25,37,0,0,0,0,2282,2,0
"13694","3/24/2014","21:00","UTA","Home","Loss",240,2,94,16,7,7,2,17,83,34,0.4096,27,7,0.2593,28,19,0.6786,12,21,33,0,0,0,0,"DET",240,2,114,23,13,6,2,19,83,46,0.5542,17,9,0.5294,18,13,0.7222,16,37,53,0,0,0,0,2283,0,1
"13700","3/24/2014","22:30","LAC","Home","Win",240,2,106,29,13,7,6,17,78,38,0.4872,18,8,0.4444,27,22,0.8148,7,33,40,0,0,0,0,"MIL",240,1,98,27,10,6,2,18,85,41,0.4824,13,5,0.3846,16,11,0.6875,11,27,38,0,0,0,0,2284,0,0
"13706","3/25/2014","19:00","CLE","Home","Win",240,2,102,27,15,6,9,22,70,36,0.5143,13,4,0.3077,33,26,0.7879,10,39,49,0,0,0,0,"TOR",240,2,100,30,7,6,3,24,88,35,0.3977,32,14,0.4375,26,16,0.6154,13,25,38,0,0,0,0,2285,0,0
"13712","3/25/2014","19:00","ORL","Home","Win",240,2,95,19,14,10,3,16,85,37,0.4353,17,6,0.3529,22,15,0.6818,16,34,50,0,0,0,0,"POR",240,1,85,17,15,4,4,14,86,32,0.3721,26,7,0.2692,17,14,0.8235,16,34,50,0,0,0,0,2286,3,0
"13718","3/25/2014","20:00","DAL","Home","Win",265,2,128,27,20,14,4,22,90,45,0.5,38,15,0.3947,28,23,0.8214,12,36,48,17,0,0,0,"OKC",265,1,119,27,21,9,2,30,93,46,0.4946,33,12,0.3636,19,15,0.7895,10,28,38,8,0,0,0,2287,0,0
"13724","3/25/2014","22:30","LAL","Home","Win",240,2,127,32,17,10,2,23,83,48,0.5783,28,18,0.6429,15,13,0.8667,8,30,38,0,0,0,0,"NY",240,2,96,23,16,9,4,16,74,36,0.4865,15,4,0.2667,27,20,0.7407,8,24,32,0,0,0,0,2288,0,-3
"13730","3/26/2014","19:00","CHA","Home","Win",265,2,116,27,9,3,1,16,92,46,0.5,21,8,0.381,23,16,0.6957,15,34,49,11,0,0,0,"BKN",265,2,111,29,9,5,4,25,83,40,0.4819,37,17,0.4595,16,14,0.875,3,29,32,6,0,0,0,2289,0,1
"13736","3/26/2014","19:00","WAS","Home","Loss",240,3,93,21,15,9,1,13,81,37,0.4568,19,6,0.3158,21,13,0.619,7,28,35,0,0,0,0,"PHO",240,2,99,22,19,8,4,18,75,37,0.4933,28,14,0.5,12,11,0.9167,6,33,39,0,0,0,0,2290,2,0
"13742","3/26/2014","19:30","BOS","Home","Loss",240,5,90,23,10,8,5,16,79,32,0.4051,22,9,0.4091,22,17,0.7727,8,28,36,0,0,0,0,"TOR",240,1,99,17,17,4,3,21,80,36,0.45,23,11,0.4783,18,16,0.8889,11,37,48,0,0,0,0,2291,0,0
"13748","3/26/2014","19:30","DET","Home","Loss",240,2,96,27,13,5,5,18,84,39,0.4643,26,11,0.4231,13,7,0.5385,11,37,48,0,0,0,0,"CLE",240,1,97,18,10,3,2,13,85,37,0.4353,26,9,0.3462,24,14,0.5833,13,32,45,0,0,0,0,2292,2,0
"13754","3/26/2014","20:00","MIN","Home","Win",240,2,107,31,19,17,1,14,86,43,0.5,22,9,0.4091,16,12,0.75,7,38,45,0,0,0,0,"ATL",240,2,83,21,26,9,2,16,82,31,0.378,28,7,0.25,16,14,0.875,6,34,40,0,0,0,0,2293,0,-1
"13760","3/26/2014","20:00","NO","Home","Win",240,2,98,24,13,6,9,20,90,38,0.4222,12,3,0.25,25,19,0.76,17,36,53,0,0,0,0,"LAC",240,2,96,25,13,7,9,21,80,33,0.4125,30,13,0.4333,28,17,0.6071,12,28,40,0,0,0,0,2294,0,2
"13766","3/26/2014","20:00","IND","Home","Win",240,2,84,18,12,8,0,21,81,30,0.3704,14,7,0.5,21,17,0.8095,11,26,37,0,0,0,0,"MIA",240,2,83,13,19,6,9,22,61,28,0.459,19,6,0.3158,29,21,0.7241,5,32,37,0,0,0,0,2295,1,0
"13772","3/26/2014","20:30","SA","Home","Win",240,2,108,30,21,11,6,18,88,43,0.4886,20,8,0.4,20,14,0.7,13,30,43,0,0,0,0,"DEN",240,2,103,22,18,13,6,22,83,38,0.4578,19,7,0.3684,25,20,0.8,9,34,43,0,0,0,0,2296,0,0
"13778","3/26/2014","22:00","SAC","Home","Loss",240,3,99,19,11,7,2,18,69,33,0.4783,17,6,0.3529,35,27,0.7714,8,24,32,0,0,0,0,"NY",240,1,107,25,14,3,4,30,73,40,0.5479,26,15,0.5769,13,12,0.9231,7,27,34,0,0,0,0,2297,0,0
"13784","3/26/2014","22:30","UTA","Home","Loss",240,2,87,22,13,9,4,14,69,32,0.4638,16,5,0.3125,26,18,0.6923,6,29,35,0,0,0,0,"MEM",240,2,91,22,10,6,2,20,79,36,0.4557,9,4,0.4444,16,15,0.9375,10,31,41,0,0,0,0,2298,0,-1
"13790","3/27/2014","19:30","ATL","Home","Loss",240,1,85,17,13,6,1,19,84,34,0.4048,22,4,0.1818,17,13,0.7647,10,29,39,0,0,0,0,"POR",240,2,100,24,13,4,5,20,80,37,0.4625,26,10,0.3846,21,16,0.7619,13,34,47,0,0,0,0,2299,1,0
