"","gmDate","gmTime","teamAbbr","teamLoc","teamRslt","teamMin","teamDayOff","teamPTS","teamAST","teamTO","teamSTL","teamBLK","teamPF","teamFGA","teamFGM","teamFG.","team3PA","team3PM","team3P.","teamFTA","teamFTM","teamFT.","teamORB","teamDRB","teamTRB","teamPTS5","teamPTS6","teamPTS7","teamPTS8","opptAbbr","opptMin","opptDayOff","opptPTS","opptAST","opptTO","opptSTL","opptBLK","opptPF","opptFGA","opptFGM","opptFG.","oppt3PA","oppt3PM","oppt3P.","opptFTA","opptFTM","opptFT.","opptORB","opptDRB","opptTRB","opptPTS5","opptPTS6","opptPTS7","opptPTS8","nrow","teamCircadian","opptCircadian"
"1090","11/24/2012","19:00","WAS","Home","Loss",290,3,106,21,20,11,5,28,93,34,0.3656,27,6,0.2222,39,32,0.8205,18,35,53,7,7,0,0,"CHA",290,1,108,20,17,12,5,33,83,34,0.4096,28,12,0.4286,36,28,0.7778,5,35,40,7,9,0,0,182,0,0
"1096","11/24/2012","19:00","ATL","Home","Win",240,1,104,26,19,5,2,18,75,38,0.5067,17,7,0.4118,26,21,0.8077,8,31,39,0,0,0,0,"LAC",240,1,93,19,15,13,3,22,75,32,0.4267,19,8,0.4211,25,21,0.84,7,30,37,0,0,0,0,183,0,0
"1102","11/24/2012","19:00","PHI","Home","Loss",265,3,109,31,16,7,4,28,91,45,0.4945,20,7,0.35,17,12,0.7059,12,31,43,11,0,0,0,"OKC",265,1,116,21,12,11,5,20,88,39,0.4432,21,6,0.2857,37,32,0.8649,18,24,42,18,0,0,0,184,0,0
"1108","11/24/2012","19:30","MIA","Home","Win",240,3,110,21,18,5,5,25,69,36,0.5217,19,9,0.4737,37,29,0.7838,9,30,39,0,0,0,0,"CLE",240,1,108,21,11,9,0,29,79,35,0.443,31,14,0.4516,33,24,0.7273,10,22,32,0,0,0,0,185,0,0
"1114","11/24/2012","20:30","DAL","Home","Loss",240,3,89,22,15,9,6,28,92,34,0.3696,28,10,0.3571,20,11,0.55,9,30,39,0,0,0,0,"LAL",240,1,115,21,19,11,4,23,82,40,0.4878,22,12,0.5455,34,23,0.6765,11,50,61,0,0,0,0,186,0,0
"1120","11/24/2012","21:00","MIL","Home","Loss",240,3,86,20,10,10,10,20,88,38,0.4318,17,3,0.1765,10,7,0.7,10,30,40,0,0,0,0,"CHI",240,3,93,17,16,4,2,18,82,32,0.3902,16,4,0.25,26,25,0.9615,20,34,54,0,0,0,0,187,-1,0
"1126","11/24/2012","22:00","SAC","Home","Win",240,1,108,19,14,8,2,20,74,40,0.5405,16,6,0.375,32,22,0.6875,14,23,37,0,0,0,0,"UTA",240,1,97,23,18,11,4,26,79,32,0.4051,25,11,0.44,30,22,0.7333,17,21,38,0,0,0,0,188,-1,-1
"1132","11/24/2012","22:30","GS","Home","Win",240,1,96,18,13,1,3,25,78,33,0.4231,21,6,0.2857,29,24,0.8276,13,35,48,0,0,0,0,"MIN",240,1,85,25,11,8,3,24,86,33,0.3837,27,5,0.1852,19,14,0.7368,11,28,39,0,0,0,0,189,-1,0
"1138","11/25/2012","13:00","NY","Home","Win",240,2,121,24,11,13,4,19,79,38,0.481,33,17,0.5152,31,28,0.9032,10,27,37,0,0,0,0,"DET",240,2,100,20,20,6,4,22,78,37,0.4744,20,9,0.45,22,17,0.7727,10,28,38,0,0,0,0,190,1,0
"1144","11/25/2012","13:00","TOR","Home","Loss",290,2,106,21,13,6,8,25,110,40,0.3636,24,6,0.25,24,20,0.8333,17,44,61,9,9,0,0,"SA",290,2,111,25,12,4,5,18,103,44,0.4272,27,8,0.2963,19,15,0.7895,7,45,52,9,14,0,0,191,0,0
"1150","11/25/2012","15:00","BKN","Home","Win",240,2,98,26,12,10,9,11,92,39,0.4239,17,5,0.2941,21,15,0.7143,17,31,48,0,0,0,0,"POR",240,2,85,22,18,8,6,19,78,34,0.4359,17,7,0.4118,13,10,0.7692,9,25,34,0,0,0,0,192,0,3
"1156","11/25/2012","18:00","ORL","Home","Loss",265,2,110,20,19,9,8,19,90,41,0.4556,26,11,0.4231,19,17,0.8947,10,32,42,8,0,0,0,"BOS",265,2,116,26,15,9,2,22,105,47,0.4476,18,7,0.3889,19,15,0.7895,17,34,51,14,0,0,0,193,0,0
"1162","11/25/2012","18:00","PHI","Home","Win",240,1,104,23,8,4,4,18,81,39,0.4815,19,9,0.4737,23,17,0.7391,6,27,33,0,0,0,0,"PHO",240,2,101,24,12,3,5,23,83,39,0.4699,11,4,0.3636,20,19,0.95,9,32,41,0,0,0,0,194,0,2
"1168","11/25/2012","20:00","DEN","Home","Win",240,2,102,27,15,9,12,20,75,40,0.5333,13,5,0.3846,21,17,0.8095,9,32,41,0,0,0,0,"NO",240,2,84,23,14,6,6,18,85,33,0.3882,13,6,0.4615,20,12,0.6,15,25,40,0,0,0,0,195,0,0
